AccountNumber,SubRegion,Region,Latitude,Longitude,Currency,Acres
19-1997668,Middle East,EMEA,36.4745388,66.9511459,AFN,1
91-2310675,Middle East,EMEA,36.1560347,68.0477509,AFN,1
12-8646880,Middle East,EMEA,33.1911812,68.089484,AFN,1
35-3451605,Eastern Europe,EMEA,60.2267401,20.3244146,EUR,3
08-5709568,Eastern Europe,EMEA,39.8592119,20.0271001,ALL,3
66-0467471,Eastern Europe,EMEA,41.8061049,20.3353497,ALL,3
89-9675885,Eastern Europe,EMEA,39.9061718,20.0613438,ALL,3
80-8968761,Oceania,AMER,-14.3519929,-170.7408429,USD,100
85-1772639,South America,LATAM,-26.3374785,-60.4304186,ARS,149
36-8531102,South America,LATAM,-34.5937209,-58.5035787,ARS,684
17-3723428,South America,LATAM,-34.3998126,-58.6057651,ARS,168
01-5885451,South America,LATAM,-34.6802091,-58.4747517,ARS,497
55-6763956,South America,LATAM,-32.966145,-60.657848,ARS,119
20-3449461,South America,LATAM,-34.8411832,-58.4389753,ARS,679
36-1254725,South America,LATAM,-34.6884971,-58.532397,ARS,65
11-2950424,Caucusus,EMEA,40.1518048,44.2673774,AMD,5
74-5526272,Caucusus,EMEA,40.24739,44.53511,AMD,5
40-0805242,Caucusus,EMEA,53.1307962,30.7935909,BYR,104
04-8630490,Caucusus,EMEA,53.1307962,30.7935909,BYR,38
08-4888610,Caucusus,EMEA,53.7966603,27.7949868,BYR,164
99-9693316,Caucusus,EMEA,53.5866599,24.2503492,BYR,142
60-3945259,Caucusus,EMEA,54.9377761,26.6910443,BYR,34
50-4165482,South America,LATAM,-20.76667,-65.33333,BOB,5
90-5164246,Eastern Europe,EMEA,44.4410356,18.1173229,BAM,7
57-9497987,Eastern Europe,EMEA,45.0783589,18.6758688,BAM,7
42-0898028,Eastern Europe,EMEA,43.7764262,16.9261199,BAM,7
15-7842056,South America,LATAM,-16.3846284,-51.2213044,BRL,116
96-1923393,South America,LATAM,-6.0768719,-47.8032284,BRL,80
