Temperature,Date,Country
32,1/1/1991,Afghanistan
35,2/1/1991,Afghanistan
45,3/1/1991,Afghanistan
56,4/1/1991,Afghanistan
63,5/1/1991,Afghanistan
74,6/1/1991,Afghanistan
78,7/1/1991,Afghanistan
76,8/1/1991,Afghanistan
68,9/1/1991,Afghanistan
56,10/1/1991,Afghanistan
46,11/1/1991,Afghanistan
40,12/1/1991,Afghanistan
34,1/1/1992,Afghanistan
37,2/1/1992,Afghanistan
42,3/1/1992,Afghanistan
53,4/1/1992,Afghanistan
61,5/1/1992,Afghanistan
73,6/1/1992,Afghanistan
77,7/1/1992,Afghanistan
73,8/1/1992,Afghanistan
65,9/1/1992,Afghanistan
55,10/1/1992,Afghanistan
48,11/1/1992,Afghanistan
40,12/1/1992,Afghanistan
32,1/1/1993,Afghanistan
40,2/1/1993,Afghanistan
43,3/1/1993,Afghanistan
56,4/1/1993,Afghanistan
65,5/1/1993,Afghanistan
73,6/1/1993,Afghanistan
76,7/1/1993,Afghanistan
73,8/1/1993,Afghanistan
67,9/1/1993,Afghanistan
53,10/1/1993,Afghanistan
45,11/1/1993,Afghanistan
38,12/1/1993,Afghanistan
34,1/1/1994,Afghanistan
34,2/1/1994,Afghanistan
48,3/1/1994,Afghanistan
54,4/1/1994,Afghanistan
66,5/1/1994,Afghanistan
75,6/1/1994,Afghanistan
77,7/1/1994,Afghanistan
77,8/1/1994,Afghanistan
62,9/1/1994,Afghanistan
55,10/1/1994,Afghanistan
50,11/1/1994,Afghanistan
36,12/1/1994,Afghanistan
34,1/1/1995,Afghanistan
37,2/1/1995,Afghanistan
43,3/1/1995,Afghanistan
55,4/1/1995,Afghanistan
65,5/1/1995,Afghanistan
74,6/1/1995,Afghanistan
79,7/1/1995,Afghanistan
76,8/1/1995,Afghanistan
66,9/1/1995,Afghanistan
56,10/1/1995,Afghanistan
46,11/1/1995,Afghanistan
35,12/1/1995,Afghanistan
31,1/1/1996,Afghanistan
36,2/1/1996,Afghanistan
44,3/1/1996,Afghanistan
55,4/1/1996,Afghanistan
63,5/1/1996,Afghanistan
73,6/1/1996,Afghanistan
76,7/1/1996,Afghanistan
74,8/1/1996,Afghanistan
69,9/1/1996,Afghanistan
55,10/1/1996,Afghanistan
41,11/1/1996,Afghanistan
38,12/1/1996,Afghanistan
34,1/1/1997,Afghanistan
36,2/1/1997,Afghanistan
45,3/1/1997,Afghanistan
54,4/1/1997,Afghanistan
62,5/1/1997,Afghanistan
75,6/1/1997,Afghanistan
78,7/1/1997,Afghanistan
75,8/1/1997,Afghanistan
68,9/1/1997,Afghanistan
59,10/1/1997,Afghanistan
41,11/1/1997,Afghanistan
35,12/1/1997,Afghanistan
32,1/1/1998,Afghanistan
34,2/1/1998,Afghanistan
43,3/1/1998,Afghanistan
58,4/1/1998,Afghanistan
64,5/1/1998,Afghanistan
73,6/1/1998,Afghanistan
79,7/1/1998,Afghanistan
74,8/1/1998,Afghanistan
67,9/1/1998,Afghanistan
58,10/1/1998,Afghanistan
47,11/1/1998,Afghanistan
40,12/1/1998,Afghanistan
33,1/1/1999,Afghanistan
41,2/1/1999,Afghanistan
45,3/1/1999,Afghanistan
57,4/1/1999,Afghanistan
66,5/1/1999,Afghanistan
76,6/1/1999,Afghanistan
78,7/1/1999,Afghanistan
76,8/1/1999,Afghanistan
70,9/1/1999,Afghanistan
59,10/1/1999,Afghanistan
47,11/1/1999,Afghanistan
39,12/1/1999,Afghanistan
35,1/1/2000,Afghanistan
36,2/1/2000,Afghanistan
45,3/1/2000,Afghanistan
61,4/1/2000,Afghanistan
71,5/1/2000,Afghanistan
73,6/1/2000,Afghanistan
76,7/1/2000,Afghanistan
75,8/1/2000,Afghanistan
68,9/1/2000,Afghanistan
57,10/1/2000,Afghanistan
44,11/1/2000,Afghanistan
39,12/1/2000,Afghanistan
32,1/1/2001,Afghanistan
38,2/1/2001,Afghanistan
47,3/1/2001,Afghanistan
62,4/1/2001,Afghanistan
72,5/1/2001,Afghanistan
77,6/1/2001,Afghanistan
79,7/1/2001,Afghanistan
76,8/1/2001,Afghanistan
68,9/1/2001,Afghanistan
58,10/1/2001,Afghanistan
48,11/1/2001,Afghanistan
41,12/1/2001,Afghanistan
36,1/1/2002,Afghanistan
38,2/1/2002,Afghanistan
49,3/1/2002,Afghanistan
58,4/1/2002,Afghanistan
68,5/1/2002,Afghanistan
76,6/1/2002,Afghanistan
78,7/1/2002,Afghanistan
78,8/1/2002,Afghanistan
68,9/1/2002,Afghanistan
60,10/1/2002,Afghanistan
47,11/1/2002,Afghanistan
35,12/1/2002,Afghanistan
36,1/1/2003,Afghanistan
39,2/1/2003,Afghanistan
47,3/1/2003,Afghanistan
57,4/1/2003,Afghanistan
62,5/1/2003,Afghanistan
75,6/1/2003,Afghanistan
79,7/1/2003,Afghanistan
77,8/1/2003,Afghanistan
68,9/1/2003,Afghanistan
59,10/1/2003,Afghanistan
44,11/1/2003,Afghanistan
37,12/1/2003,Afghanistan
38,1/1/2004,Afghanistan
42,2/1/2004,Afghanistan
51,3/1/2004,Afghanistan
58,4/1/2004,Afghanistan
68,5/1/2004,Afghanistan
76,6/1/2004,Afghanistan
78,7/1/2004,Afghanistan
77,8/1/2004,Afghanistan
69,9/1/2004,Afghanistan
55,10/1/2004,Afghanistan
50,11/1/2004,Afghanistan
38,12/1/2004,Afghanistan
34,1/1/2005,Afghanistan
35,2/1/2005,Afghanistan
50,3/1/2005,Afghanistan
57,4/1/2005,Afghanistan
63,5/1/2005,Afghanistan
76,6/1/2005,Afghanistan
80,7/1/2005,Afghanistan
76,8/1/2005,Afghanistan
71,9/1/2005,Afghanistan
59,10/1/2005,Afghanistan
46,11/1/2005,Afghanistan
39,12/1/2005,Afghanistan
32,1/1/2006,Afghanistan
43,2/1/2006,Afghanistan
49,3/1/2006,Afghanistan
59,4/1/2006,Afghanistan
72,5/1/2006,Afghanistan
76,6/1/2006,Afghanistan
80,7/1/2006,Afghanistan
77,8/1/2006,Afghanistan
67,9/1/2006,Afghanistan
63,10/1/2006,Afghanistan
48,11/1/2006,Afghanistan
35,12/1/2006,Afghanistan
33,1/1/2007,Afghanistan
39,2/1/2007,Afghanistan
45,3/1/2007,Afghanistan
63,4/1/2007,Afghanistan
68,5/1/2007,Afghanistan
77,6/1/2007,Afghanistan
79,7/1/2007,Afghanistan
76,8/1/2007,Afghanistan
68,9/1/2007,Afghanistan
54,10/1/2007,Afghanistan
49,11/1/2007,Afghanistan
36,12/1/2007,Afghanistan
24,1/1/2008,Afghanistan
33,2/1/2008,Afghanistan
54,3/1/2008,Afghanistan
60,4/1/2008,Afghanistan
70,5/1/2008,Afghanistan
79,6/1/2008,Afghanistan
