Order Date	Agency ID	Seed ID	Quantity Ordered	Region	Owner ID
12/17/2016	00-7149865	A1052	56	AMER	amer@mosaic.org
2/13/2017	00-7149865	A1039	223	AMER	amer@mosaic.org
11/15/2017	00-7149865	A1032	248	AMER	amer@mosaic.org
1/29/2017	00-7149865	P1035	71	AMER	amer@mosaic.org
7/5/2017	02-8334347	A1045	187	EMEA	emea@mosaic.org
9/24/2017	04-3083178	A1040	274	EMEA	emea@mosaic.org
7/28/2017	04-8630490	P1023	84	EMEA	emea@mosaic.org
8/17/2017	05-8748140	P1004	84	EMEA	emea@mosaic.org
12/6/2017	06-0942613	A1017	203	APAC	apac@mosaic.org
3/25/2017	06-2303343	A1010	253	APAC	apac@mosaic.org
12/31/2017	06-2414421	P1005	75	EMEA	emea@mosaic.org
10/19/2016	06-8156572	A1050	252	APAC	apac@mosaic.org
2/12/2017	08-2910108	A1038	264	AMER	amer@mosaic.org
8/8/2017	08-4888610	A1011	246	EMEA	emea@mosaic.org
11/19/2017	09-3301990	A1041	69	EMEA	emea@mosaic.org
3/5/2017	10-1405767	A1006	108	AMER	amer@mosaic.org
11/7/2016	11-1575931	P1004	281	APAC	apac@mosaic.org
12/13/2016	11-1974323	P1003	246	APAC	apac@mosaic.org
1/16/2017	11-2436068	A1013	237	LATAM	latam@mosaic.org
11/8/2017	11-2436068	A1008	64	LATAM	latam@mosaic.org
11/15/2016	11-4591030	A1031	187	LATAM	latam@mosaic.org
4/30/2017	12-2915207	A1027	188	LATAM	latam@mosaic.org
8/23/2017	12-4056068	A1018	206	APAC	apac@mosaic.org
5/25/2017	12-5085656	A1015	101	LATAM	latam@mosaic.org
4/22/2017	12-8646880	P1053	205	EMEA	emea@mosaic.org
11/21/2016	12-8752103	A1050	116	EMEA	emea@mosaic.org
4/19/2017	13-0312548	P1053	235	EMEA	emea@mosaic.org
3/7/2017	13-3077158	P1035	258	APAC	apac@mosaic.org
2/14/2017	13-4923757	A1045	236	AMER	amer@mosaic.org
8/19/2017	14-2843421	A1042	241	APAC	apac@mosaic.org
10/21/2017	15-1974695	P1009	226	LATAM	latam@mosaic.org
1/20/2017	15-4743445	A1024	115	EMEA	emea@mosaic.org
5/22/2017	15-7842056	A1014	146	LATAM	latam@mosaic.org
9/4/2017	17-1413456	P1004	261	APAC	apac@mosaic.org
8/8/2017	17-2457212	A1012	196	LATAM	latam@mosaic.org
3/26/2017	18-1485790	A1038	164	APAC	apac@mosaic.org
9/20/2016	19-0363334	A1041	259	LATAM	latam@mosaic.org
7/21/2017	19-1997668	A1049	120	EMEA	emea@mosaic.org
6/25/2017	20-7826722	A1026	131	AMER	amer@mosaic.org
11/6/2017	21-8769070	A1037	240	APAC	apac@mosaic.org
3/20/2017	21-9559464	A1044	136	EMEA	emea@mosaic.org
5/16/2017	22-2053231	A1011	171	APAC	apac@mosaic.org
