TempKey,TempClass
Polar,Polar
Cool,Cool
Continental,Continental
Tropical,Tropical
Polar-Cool,Polar
Polar-Cool,Cool
Polar-Cool-Continental,Polar
Polar-Cool-Continental,Cool
Polar-Cool-Continental,Continental
Polar-Cool-Continental-Tropical,Polar
Polar-Cool-Continental-Tropical,Cool
Polar-Cool-Continental-Tropical,Continental
Polar-Cool-Continental-Tropical,Tropical
Cool-Continental,Cool
Cool-Continental,Continental
Cool-Continental-Tropical,Cool
Cool-Continental-Tropical,Continental
Cool-Continental-Tropical,Tropical
Continental-Tropical,Continental
Continental-Tropical,Tropical
